time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing,nb_unavailable
26445,1,0,0,1,14,0
26469,1,0,1,0,14,0
26474,2,0,0,0,14,0
26588,1,1,0,4,10,0
26589,1,1,0,5,9,0
26593,1,0,0,1,14,0
26596,1,0,0,1,14,0
26619,1,0,1,0,14,0
26624,2,0,0,0,14,0
26739,2,0,0,0,14,0
26744,0,2,0,1,13,0
26745,0,2,0,2,12,0
26749,0,0,0,1,15,0
26775,0,0,1,0,15,0
26780,1,0,0,0,15,0
26890,0,1,0,4,11,0
26894,0,1,0,5,10,0
26895,0,0,0,0,16,0
26900,0,0,0,0,16,0
27042,0,0,0,1,15,0
27045,0,0,0,4,12,0
27051,0,0,0,1,15,0
27081,0,0,1,0,15,0
27086,1,0,0,0,15,0
27194,1,0,0,1,14,0
27195,1,0,0,0,15,0
27203,0,1,0,2,13,0
27208,0,0,0,0,16,0
27344,0,0,0,0,16,0
27347,0,0,0,1,15,0
27350,0,0,0,0,16,0
27354,0,0,0,0,16,0
27496,0,0,0,0,16,0
27497,0,0,0,1,15,0
27499,0,0,0,0,16,0
27503,0,0,0,3,13,0
27533,0,0,3,0,13,0
27538,3,0,0,0,13,0
27646,1,2,0,4,9,0
27648,1,2,0,6,7,0
27649,1,2,0,5,8,0
27651,1,0,0,1,14,0
27678,1,0,1,0,14,0
27683,2,0,0,0,14,0
27797,1,1,0,4,10,0
27799,0,2,0,8,6,0
27802,0,1,0,4,11,0
27804,0,0,0,1,15,0
27834,0,0,1,0,15,0
27839,1,0,0,0,15,0
27951,1,0,0,1,14,0
27953,0,1,0,2,13,0
27955,0,1,0,3,12,0
27958,0,0,0,1,15,0
