time,sleeping,sleeping_nodes,switching_on,switching_on_nodes,switching_off,switching_off_nodes,idle,idle_nodes,computing,computing_nodes,unavailable
468,0,[],0,[],0,[],0,[],8,"[{'job_id': 37, 'nodes': [1, 2], 'starting_time': 431, 'finish_time': 479}, {'job_id': 38, 'nodes': [0, 3], 'starting_time': 467, 'finish_time': 518}, {'job_id': 39, 'nodes': [4], 'starting_time': 467, 'finish_time': 514}, {'job_id': 40, 'nodes': [5], 'starting_time': 468, 'finish_time': 518}, {'job_id': 41, 'nodes': [6], 'starting_time': 468, 'finish_time': 516}, {'job_id': 42, 'nodes': [7], 'starting_time': 468, 'finish_time': 518}]",0
479,0,[],0,[],0,[],2,"[1, 2]",6,"[{'job_id': 38, 'nodes': [0, 3], 'starting_time': 467, 'finish_time': 518}, {'job_id': 39, 'nodes': [4], 'starting_time': 467, 'finish_time': 514}, {'job_id': 40, 'nodes': [5], 'starting_time': 468, 'finish_time': 518}, {'job_id': 41, 'nodes': [6], 'starting_time': 468, 'finish_time': 516}, {'job_id': 42, 'nodes': [7], 'starting_time': 468, 'finish_time': 518}]",0
509,0,[],0,[],2,"[1, 2]",0,[],6,"[{'job_id': 38, 'nodes': [0, 3], 'starting_time': 467, 'finish_time': 518}, {'job_id': 39, 'nodes': [4], 'starting_time': 467, 'finish_time': 514}, {'job_id': 40, 'nodes': [5], 'starting_time': 468, 'finish_time': 518}, {'job_id': 41, 'nodes': [6], 'starting_time': 468, 'finish_time': 516}, {'job_id': 42, 'nodes': [7], 'starting_time': 468, 'finish_time': 518}]",0
514,0,[],2,"[1, 2]",0,[],1,[4],5,"[{'job_id': 38, 'nodes': [0, 3], 'starting_time': 467, 'finish_time': 518}, {'job_id': 40, 'nodes': [5], 'starting_time': 468, 'finish_time': 518}, {'job_id': 41, 'nodes': [6], 'starting_time': 468, 'finish_time': 516}, {'job_id': 42, 'nodes': [7], 'starting_time': 468, 'finish_time': 518}]",0
516,0,[],2,"[1, 2]",0,[],1,[4],5,"[{'job_id': 38, 'nodes': [0, 3], 'starting_time': 467, 'finish_time': 518}, {'job_id': 40, 'nodes': [5], 'starting_time': 468, 'finish_time': 518}, {'job_id': 42, 'nodes': [7], 'starting_time': 468, 'finish_time': 518}, {'job_id': 44, 'nodes': [6], 'starting_time': 516, 'finish_time': 570}]",0
518,0,[],2,"[1, 2]",0,[],1,[4],5,"[{'job_id': 44, 'nodes': [6], 'starting_time': 516, 'finish_time': 570}, {'job_id': 45, 'nodes': [0], 'starting_time': 518, 'finish_time': 566}, {'job_id': 46, 'nodes': [3, 5], 'starting_time': 518, 'finish_time': 571}, {'job_id': 47, 'nodes': [7], 'starting_time': 518, 'finish_time': 569}, {'job_id': 43, 'nodes': [4, 1, 2], 'starting_time': 519, 'finish_time': 565}]",0
519,0,[],0,[],0,[],0,[],8,"[{'job_id': 44, 'nodes': [6], 'starting_time': 516, 'finish_time': 570}, {'job_id': 45, 'nodes': [0], 'starting_time': 518, 'finish_time': 566}, {'job_id': 46, 'nodes': [3, 5], 'starting_time': 518, 'finish_time': 571}, {'job_id': 47, 'nodes': [7], 'starting_time': 518, 'finish_time': 569}, {'job_id': 43, 'nodes': [4, 1, 2], 'starting_time': 519, 'finish_time': 565}]",0
565,0,[],0,[],0,[],1,[4],7,"[{'job_id': 44, 'nodes': [6], 'starting_time': 516, 'finish_time': 570}, {'job_id': 45, 'nodes': [0], 'starting_time': 518, 'finish_time': 566}, {'job_id': 46, 'nodes': [3, 5], 'starting_time': 518, 'finish_time': 571}, {'job_id': 47, 'nodes': [7], 'starting_time': 518, 'finish_time': 569}, {'job_id': 48, 'nodes': [1, 2], 'starting_time': 565, 'finish_time': 614}]",0
566,0,[],0,[],0,[],0,[],8,"[{'job_id': 44, 'nodes': [6], 'starting_time': 516, 'finish_time': 570}, {'job_id': 46, 'nodes': [3, 5], 'starting_time': 518, 'finish_time': 571}, {'job_id': 47, 'nodes': [7], 'starting_time': 518, 'finish_time': 569}, {'job_id': 48, 'nodes': [1, 2], 'starting_time': 565, 'finish_time': 614}, {'job_id': 49, 'nodes': [0, 4], 'starting_time': 566, 'finish_time': 617}]",0
569,0,[],0,[],0,[],0,[],8,"[{'job_id': 44, 'nodes': [6], 'starting_time': 516, 'finish_time': 570}, {'job_id': 46, 'nodes': [3, 5], 'starting_time': 518, 'finish_time': 571}, {'job_id': 48, 'nodes': [1, 2], 'starting_time': 565, 'finish_time': 614}, {'job_id': 49, 'nodes': [0, 4], 'starting_time': 566, 'finish_time': 617}, {'job_id': 50, 'nodes': [7], 'starting_time': 569, 'finish_time': 620}]",0
570,0,[],0,[],0,[],1,[6],7,"[{'job_id': 46, 'nodes': [3, 5], 'starting_time': 518, 'finish_time': 571}, {'job_id': 48, 'nodes': [1, 2], 'starting_time': 565, 'finish_time': 614}, {'job_id': 49, 'nodes': [0, 4], 'starting_time': 566, 'finish_time': 617}, {'job_id': 50, 'nodes': [7], 'starting_time': 569, 'finish_time': 620}]",0
571,0,[],0,[],0,[],1,[6],7,"[{'job_id': 48, 'nodes': [1, 2], 'starting_time': 565, 'finish_time': 614}, {'job_id': 49, 'nodes': [0, 4], 'starting_time': 566, 'finish_time': 617}, {'job_id': 50, 'nodes': [7], 'starting_time': 569, 'finish_time': 620}, {'job_id': 51, 'nodes': [3, 5], 'starting_time': 571, 'finish_time': 623}]",0
600,0,[],0,[],1,[6],0,[],7,"[{'job_id': 48, 'nodes': [1, 2], 'starting_time': 565, 'finish_time': 614}, {'job_id': 49, 'nodes': [0, 4], 'starting_time': 566, 'finish_time': 617}, {'job_id': 50, 'nodes': [7], 'starting_time': 569, 'finish_time': 620}, {'job_id': 51, 'nodes': [3, 5], 'starting_time': 571, 'finish_time': 623}]",0
605,1,[6],0,[],0,[],0,[],7,"[{'job_id': 48, 'nodes': [1, 2], 'starting_time': 565, 'finish_time': 614}, {'job_id': 49, 'nodes': [0, 4], 'starting_time': 566, 'finish_time': 617}, {'job_id': 50, 'nodes': [7], 'starting_time': 569, 'finish_time': 620}, {'job_id': 51, 'nodes': [3, 5], 'starting_time': 571, 'finish_time': 623}]",0
614,1,[6],0,[],0,[],0,[],7,"[{'job_id': 49, 'nodes': [0, 4], 'starting_time': 566, 'finish_time': 617}, {'job_id': 50, 'nodes': [7], 'starting_time': 569, 'finish_time': 620}, {'job_id': 51, 'nodes': [3, 5], 'starting_time': 571, 'finish_time': 623}, {'job_id': 52, 'nodes': [1, 2], 'starting_time': 614, 'finish_time': 667}]",0
617,0,[],1,[6],0,[],0,[],7,"[{'job_id': 50, 'nodes': [7], 'starting_time': 569, 'finish_time': 620}, {'job_id': 51, 'nodes': [3, 5], 'starting_time': 571, 'finish_time': 623}, {'job_id': 52, 'nodes': [1, 2], 'starting_time': 614, 'finish_time': 667}, {'job_id': 53, 'nodes': [0, 4], 'starting_time': 617, 'finish_time': 665}]",0
620,0,[],1,[6],0,[],1,[7],6,"[{'job_id': 51, 'nodes': [3, 5], 'starting_time': 571, 'finish_time': 623}, {'job_id': 52, 'nodes': [1, 2], 'starting_time': 614, 'finish_time': 667}, {'job_id': 53, 'nodes': [0, 4], 'starting_time': 617, 'finish_time': 665}, {'job_id': 54, 'nodes': [6], 'starting_time': 622, 'finish_time': 675}]",0
